日期,应用名称,国家,渠道号,新用户,交易数,信息费,预计收入,日活跃用户数,次日留存用户数
2018-09-10,"T Run",伊拉克,MUUU594,1,0,0.00,0.00,1,0
2018-09-10,Juice,菲律宾,MUUU607,0,0,0.00,0.00,2,0
2018-09-10,MythWar,孟加拉国,MUUU601,2,0,0.00,0.00,31,0
2018-09-10,Juice,阿尔及利亚,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,FruitTH,科特迪瓦,MUUU575,0,0,0.00,0.00,3,0
2018-09-10,FruitTH,摩洛哥,MUUU575,0,0,0.00,0.00,1,0
2018-09-10,AsokaRev,科特迪瓦,MUUU5751,0,0,0.00,0.00,1,0
2018-09-10,Stickman,尼泊尔,MUUU575,0,0,0.00,0.00,2,0
2018-09-10,FruitTH,乌干达,MUUU556,0,0,0.00,0.00,3,0
2018-09-10,Kitty001,孟加拉国,MUUU575,1,0,0.00,0.00,3,0
2018-09-10,Stickmen,喀麦隆,MUUU558S,0,0,0.00,0.00,2,0
2018-09-10,FruitTH,突尼斯,MUUU556,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,尼日尔,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,AsokaRev,阿富汗,MUUU1001,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,墨西哥,MUUU556S,0,0,0.00,0.00,2,0
2018-09-10,ball,南非,MUUU594,0,0,0.00,0.00,3,0
2018-09-10,FruitTH,斯里兰卡,MUUU556,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,多哥,MUUU601,0,0,0.00,0.00,1,0
2018-09-10,FruitU,巴基斯坦,MUUUU571,2,0,0.00,0.00,12,0
2018-09-10,FruitTH,马拉维,MUUU575,0,0,0.00,0.00,1,0
2018-09-10,FruitTH,孟加拉国,MUUU575,8,0,0.00,0.00,219,5
2018-09-10,StarJM,尼日利亚,MUUU607,0,0,0.00,0.00,6,0
2018-09-10,ball,乌干达,MUUU594,1,0,0.00,0.00,1,0
2018-09-10,Stickman,古巴,MUUU575,0,0,0.00,0.00,3,0
2018-09-10,MythWar,泰国,MUUU601,1,0,0.00,0.00,2,0
2018-09-10,KOF98,加纳,MUUUU574,0,0,0.00,0.00,2,0
2018-09-10,FightZHW,印度尼西亚,MUUU575,0,0,0.00,0.00,4,0
2018-09-10,GunStrik,塞拉利昂,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,CrazRace,印度,MUUUU537,0,0,0.00,0.00,1,1
2018-09-10,RaceJM,蒙古国,MUUU558S,1,0,0.00,0.00,11,0
2018-09-10,ShootKG,叙利亚,MUUUU571,0,0,0.00,0.00,1,0
2018-09-10,Shoot,也门,MUUUU,2,0,0.00,0.00,5,0
2018-09-10,Hill3,肯尼亚,MUUU609,0,0,0.00,0.00,1,0
2018-09-10,"T Run",苏丹,MUUU594,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,菲律宾,MUUU601,1,0,0.00,0.00,3,0
2018-09-10,CTSniper,卡塔尔,MUUU575,0,0,0.00,0.00,1,0
2018-09-10,"T Run",尼泊尔,MUUU605,0,0,0.00,0.00,1,0
2018-09-10,FruitTH,多米尼加共和国,MUUU575,0,0,0.00,0.00,1,0
2018-09-10,Backkom,马达加斯加,MUUU575,0,0,0.00,0.00,1,0
2018-09-10,"T Run",冈比亚,MUUUU571,0,0,0.00,0.00,1,0
2018-09-10,Apple,柬埔寨,MUUUU571,0,0,0.00,0.00,1,0
2018-09-10,DotaJM,埃塞俄比亚,MUUUU553,1,0,0.00,0.00,2,0
2018-09-10,FishPloy,印度尼西亚,MUUUU571,0,0,0.00,0.00,1,0
2018-09-10,CTSniper,俄罗斯,MUUU575,1,0,0.00,0.00,4,0
2018-09-10,KOF98,缅甸,MUUUU574,1,0,0.00,0.00,2,0
2018-09-10,Apple,突尼斯,MUUUU571,0,0,0.00,0.00,1,0
2018-09-10,SpRacing,印度,MUUU5751,3,1,0.00,0.00,54,0
2018-09-10,Shoot,墨西哥,MUUUU,0,0,0.00,0.00,1,0
2018-09-10,iZuma,巴基斯坦,MUUU601,2,0,0.00,0.00,6,0
2018-09-10,Temple28,毛里求斯,MUUU1001,0,0,0.00,0.00,1,0
2018-09-10,PopStarJ,埃塞俄比亚,MPOPJ001,3,0,0.00,0.00,19,0
2018-09-10,FruitTH,阿富汗,MUUU575,0,0,0.00,0.00,4,0
2018-09-10,RaceJM,美国,MUUU601,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,尼泊尔,MUUU601,1,0,0.00,0.00,6,0
2018-09-10,Apple,瓦努阿图,MUUU594,0,0,0.00,0.00,1,0
2018-09-10,Hill3,黎巴嫩,MUUU609,0,0,0.00,0.00,1,0
2018-09-10,Apple,塞舌尔,MUUUU571,0,0,0.00,0.00,1,0
2018-09-10,Stickmen,缅甸,MUUU558S,2,0,0.00,0.00,6,0
2018-09-10,MythWar,马来西亚,MUUU601,0,0,0.00,0.00,1,0
2018-09-10,GunStrik,伊拉克,MUUU607,0,0,6.09,0.36,4,0
2018-09-10,ShootKG,赞比亚,MUUUU571,0,0,0.00,0.00,1,0
2018-09-10,Temple28,伊朗,MUUU1001,1,0,0.00,0.00,3,0
2018-09-10,GunStrik,关岛,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,"T Run",利比里亚,MUUU594,0,0,0.00,0.00,1,0
2018-09-10,CTSniper,伊朗,MUUU575,2,0,0.00,0.00,18,2
2018-09-10,GunStrik,几内亚,MUUU607,0,0,0.00,0.00,2,0
2018-09-10,PopStarJ,利比里亚,MPOPJ001,1,0,0.00,0.00,1,0
2018-09-10,GunStrik,塔吉克斯坦,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,RaceJM,毛里塔尼亚,MUUU607,0,0,0.00,0.00,2,0
2018-09-10,ball,孟加拉国,MUUU594,3,1,0.70,0.14,23,0
2018-09-10,Hill3,印度尼西亚,MUUU609,1,0,0.00,0.00,11,1
2018-09-10,Hill3,老挝,MUUU609,0,0,0.00,0.00,1,0
2018-09-10,Apple,缅甸,MUUUU571,5,0,0.00,0.00,68,0
2018-09-10,SpRacing,埃塞俄比亚,MUUU5751,0,0,0.00,0.00,3,0
2018-09-10,StarJM,苏丹,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,CTSniper,纳米比亚,MUUU575,0,0,0.00,0.00,2,0
2018-09-10,CTSniper,南苏丹,MUUU575,0,0,0.00,0.00,11,0
2018-09-10,Shoot,埃塞俄比亚,MUUUU527,0,0,0.00,0.00,1,0
2018-09-10,"Sea Saga",俄罗斯,MUUUU,0,0,0.00,0.00,1,0
2018-09-10,GunStrik,柬埔寨,MUUU607,0,0,0.00,0.00,1,0
2018-09-10,iZuma,塞内加尔,MUUU601,0,0,0.00,0.00,1,0
